provider,provider_id,model_id,model_name,aa_slug,aa_name,aa_match,agentic,coding,intelligence,arena,swebench,agentic_norm,coding_norm,intelligence_norm,arena_norm,swebench_norm,hermes_score,data_coverage,rank
Mistral,mistral,codestral-2508,codestral-2508,,,missing,,,,,,,,,,,0.0,0.0,19
Mistral,mistral,codestral-latest,codestral-2508,,,missing,,,,,,,,,,,0.0,0.0,20
Mistral,mistral,mistral-code-latest,codestral-2508,,,missing,,,,,,,,,,,0.0,0.0,21
Mistral,mistral,mistral-code-fim-latest,codestral-2508,,,missing,,,,,,,,,,,0.0,0.0,22
Mistral,mistral,voxtral-small-2507,voxtral-small-2507,,,missing,,,,,,,,,,,0.0,0.0,23
Mistral,mistral,voxtral-small-latest,voxtral-small-2507,,,missing,,,,,,,,,,,0.0,0.0,24
Mistral,mistral,ministral-3b-2512,ministral-3b-2512,,,missing,,,,,,,,,,,0.0,0.0,25
Mistral,mistral,ministral-3b-latest,ministral-3b-2512,,,missing,,,,,,,,,,,0.0,0.0,26
Mistral,mistral,ministral-8b-2512,ministral-8b-2512,,,missing,,,,,,,,,,,0.0,0.0,27
Mistral,mistral,ministral-8b-latest,ministral-8b-2512,,,missing,,,,,,,,,,,0.0,0.0,28
Mistral,mistral,ministral-14b-2512,ministral-14b-2512,,,missing,,,,,,,,,,,0.0,0.0,29
Mistral,mistral,ministral-14b-latest,ministral-14b-2512,,,missing,,,,,,,,,,,0.0,0.0,30
Cloudflare AI,cloudflare,@cf/google/gemma-2b-it-lora,@cf/google/gemma-2b-it-lora,,,missing,,,,,,,,,,,0.0,0.0,31
Cloudflare AI,cloudflare,@cf/meta/llama-3.2-3b-instruct,@cf/meta/llama-3.2-3b-instruct,,,missing,,,,,,,,,,,0.0,0.0,32
Cloudflare AI,cloudflare,@cf/meta/llama-guard-3-8b,@cf/meta/llama-guard-3-8b,,,missing,,,,,,,,,,,0.0,0.0,33
Cloudflare AI,cloudflare,@cf/mistral/mistral-7b-instruct-v0.2-lora,@cf/mistral/mistral-7b-instruct-v0.2-lora,mistral-7b-instruct,Mistral 7B Instruct,substring,,,5.0,,,,,0.0,,,0.0,15.0,34
Cloudflare AI,cloudflare,@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,,,missing,,,,,,,,,,,0.0,0.0,35
Cloudflare AI,cloudflare,@cf/meta/llama-3.1-8b-instruct-fp8,@cf/meta/llama-3.1-8b-instruct-fp8,,,missing,,,,,,,,,,,0.0,0.0,36
Cloudflare AI,cloudflare,@cf/meta/llama-3.2-1b-instruct,@cf/meta/llama-3.2-1b-instruct,,,missing,,,,,,,,,,,0.0,0.0,37
Cloudflare AI,cloudflare,@cf/zai-org/glm-4.7-flash,@cf/zai-org/glm-4.7-flash,,,missing,,,,,,,,,,,0.0,0.0,38
Cloudflare AI,cloudflare,@cf/meta-llama/llama-2-7b-chat-hf-lora,@cf/meta-llama/llama-2-7b-chat-hf-lora,,,missing,,,,,,,,,,,0.0,0.0,39
Cloudflare AI,cloudflare,@cf/meta/llama-3.3-70b-instruct-fp8-fast,@cf/meta/llama-3.3-70b-instruct-fp8-fast,,,missing,,,,,,,,,,,0.0,0.0,40
Cloudflare AI,cloudflare,@cf/ibm-granite/granite-4.0-h-micro,@cf/ibm-granite/granite-4.0-h-micro,,,missing,,,,,,,,,,,0.0,0.0,41
Cloudflare AI,cloudflare,@cf/nvidia/nemotron-3-120b-a12b,@cf/nvidia/nemotron-3-120b-a12b,,,missing,,,,,,,,,,,0.0,0.0,42
Cloudflare AI,cloudflare,@cf/aisingapore/gemma-sea-lion-v4-27b-it,@cf/aisingapore/gemma-sea-lion-v4-27b-it,,,missing,,,,,,,,,,,0.0,0.0,43
Cloudflare AI,cloudflare,@cf/qwen/qwen3-30b-a3b-fp8,@cf/qwen/qwen3-30b-a3b-fp8,,,missing,,,,,,,,,,,0.0,0.0,44
Cloudflare AI,cloudflare,@cf/google/gemma-7b-it-lora,@cf/google/gemma-7b-it-lora,,,missing,,,,,,,,,,,0.0,0.0,45
Cloudflare AI,cloudflare,@cf/mistralai/mistral-small-3.1-24b-instruct,@cf/mistralai/mistral-small-3.1-24b-instruct,,,missing,,,,,,,,,,,0.0,0.0,46
LLM7,llm7,codestral-latest,codestral-latest,,,missing,,,,,,,,,,,0.0,0.0,47
Ollama Cloud,ollama,nemotron-3-nano:30b,nemotron-3-nano:30b,,,missing,,,,,,,,,,,0.0,0.0,48
